sample_id,polymer_type,quality_grade,recyclability_score,recycling_pathway,contamination_flag,contamination_note,degradation_level,carbon_footprint_class,dpp_eligible,reasoning,recommended_action,reasoning_source,Predicted Density,Predicted Crystallinity,Predicted SCB,confidence_pct,edge_case_flag,edge_case_notes
H0001ULDPE,LDPE,B,60,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for H0001ULDPE is due to its moderate degradation, indicated by the density (0.9174 g/cm3), crystallinity (0.3756), and SCB (18.9 CH3/1000C). These values suggest that while the LDPE has some degree of degradation, it remains suitable for mixed film streams in general flexible packaging recycling applications.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9174,0.3756,18.9,84,False,
H0002LDPE,LDPE,B,63,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for this LDPE sample is due to its moderate crystallinity (0.3872), indicating a balance between mechanical properties and processability. The presence of short chain branches (SCB) at 30.7 CH3/1000C suggests some degradation, which aligns with the noted moderate degradation level. This sample is suitable for mixed film stream recycling, general flexible packaging processes.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9193,0.3872,30.7,85,False,
H0003LDPE,LDPE,B,65,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The sample H0003LDPE is assigned Quality Grade B due to its moderate degradation, indicated by the density of 0.9139 g/cm3 and crystallinity of 0.3813. The presence of short chain branches (SCB) at 29.2 CH3/1000C suggests some degradation, but it remains suitable for mixed film stream recycling in general flexible packaging processes.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9139,0.3813,29.2,88,False,
H0004LLDPE,LDPE,A,95,Clean film stream — suitable for film-to-film recycling,False,,Moderate,Low,True,"The high density of 0.9136 g/cm3 and moderate crystallinity of 0.4136 indicate that the LDPE sample is of good quality, consistent with an A-grade assignment. The presence of 20.1 short chain branches per 1000 carbon atoms suggests a balance between molecular weight distribution and processability, further supporting its suitability for film-to-film recycling in clean applications.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9136,0.4136,20.1,93,True,Crystallinity 0.4136 within 0.0136 of Grade A boundary (0.40) — grade assignment borderline
H0005LLDPE,LDPE,B,62,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The sample H0005LLDPE is assigned Quality Grade B due to its moderate degradation, indicated by the density of 0.9185 g/cm3 and crystallinity of 0.3610. The presence of short chain branches (SCB) at 25.8 CH3/1000C suggests some degree of oxidative degradation, which aligns with the moderate degradation assessment. This sample is suitable for mixed film stream recycling, specifically in general flexible packaging processes",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9185,0.361,25.8,85,False,
H0006MDPE,MDPE,A,88,Clean film / flexible packaging stream,False,,Low,Low,True,"The high density of 0.9391 g/cm3 indicates good polymer purity, supporting the A-grade assignment. The low crystallinity of 0.5249 and moderate short chain branching (SCB) of 19.7 CH3/1000C suggest minimal degradation, aligning with the low degradation assessment. These properties make it suitable for the clean film/flexible packaging stream.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9391,0.5249,19.7,98,False,
H0007HDPE,HDPE,A,90,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9499 g/cm3 and crystallinity of 0.5598 indicate that the HDPE sample is of premium quality, suitable for food-contact applications. The low SCB value of 10.1 CH3/1000C further supports its purity, making it an ideal candidate for the Premium food-grade HDPE stream in recycling processes.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9499,0.5598,10.1,82,True,"Density 0.9499 only 0.0019 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | Crystallinity 0.5598 within 0.0098 of Grade A boundary (0.55) — grade assignment borderline"
H0008HDPE,HDPE,A,85,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9520 g/cm3 indicates pure HDPE, while the crystallinity of 0.6300 suggests a well-ordered structure. The low short chain branching (SCB) count of 14.1 CH3/1000C implies minimal impurities or degradation, contributing to the premium food-grade quality grade and PCR eligibility for food-contact applications.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.952,0.63,14.1,92,True,"Density 0.9520 only 0.0040 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | SCB 14.1 elevated above pure HDPE range (2–12) — possible 5–10% LLDPE content, flag before food-contact use"
H0009PP,PP,A,87,"Polypropylene stream — packaging reuse, food-contact eligible",True,,Moderate,Low,True,"The sample H0009PP is assigned Quality Grade A due to its high density of 0.9014 g/cm3, indicative of pure polypropylene, and moderate crystallinity at 0.4138, suggesting good mechanical properties. The presence of 294.5 SCB (short chain branches) per 1000 carbon atoms indicates minimal branching, contributing to the overall high quality suitable for polypropylene packaging reuse and food-contact applications.",Route to polypropylene packaging reuse stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9014,0.4138,294.5,98,False,
N1473LDPE,LDPE,B,64,Mixed film stream — general flexible packaging recycling,False,,High,Medium,False,"The assigned Quality Grade of B for N1473LDPE is due to its relatively low density (0.9159 g/cm3), indicating a higher content of short chain branches (SCBs) at 26.3 CH3/1000C, which reduces crystallinity to 0.3010. This combination suggests degradation, making it suitable for mixed film stream recycling in general flexible packaging applications.",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9159,0.301,26.3,75,True,Crystallinity 0.3010 within 0.0010 of Grade B boundary (0.30) — grade assignment borderline
N1474HDPE,LDPE,A,95,Clean film stream — suitable for film-to-film recycling,False,,Low,Low,True,"The high density of 0.9177 g/cm3 and low crystallinity of 0.4637 indicate that the sample is a low-density polyethylene (LDPE), which is consistent with the given polymer type. The relatively low short chain branching (SCB) count of 17.1 CH3/1000C suggests minimal branching, contributing to its excellent mechanical properties and suitability for film-to-film recycling in clean film streams.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9177,0.4637,17.1,98,True,SCB 17.1 below typical LDPE range (18–35) — possible LLDPE content
N1476LDPE,LDPE,B,55,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for N1476LDPE is due to its moderate degradation level, indicated by the density of 0.9152 g/cm3 and crystallinity of 0.3521, which suggests some loss in molecular weight. The presence of 23.5 short chain branches per 1000 carbon atoms further supports this assessment, as it implies a degree of chain scission and recombination events during processing or storage. This sample is suitable for mixed film stream recycling,",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9152,0.3521,23.5,86,False,
S0011PP,PP,A,90,"Polypropylene stream — packaging reuse, food-contact eligible",True,,Moderate,Low,True,"The assigned Quality Grade of 'A' for Sample S0011PP is justified by its high density (0.9096 g/cm3), indicating purity and minimal contamination. The moderate crystallinity (0.4034) suggests a balanced blend of amorphous and crystalline regions, contributing to mechanical strength and processability. The short chain branching (SCB) count of 304.8 CH3/1000C implies good flow properties during processing, further supporting the",Route to polypropylene packaging reuse stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9096,0.4034,304.8,91,True,Crystallinity 0.4034 within 0.0234 of Grade A boundary (0.38) — grade assignment borderline
S0024LDPE,LDPE,A,96,Clean film stream — suitable for film-to-film recycling,False,,Moderate,Low,True,"The high density of 0.9161 g/cm3 and moderate crystallinity of 0.4295 indicate that the LDPE sample is relatively pure and has good mechanical properties, contributing to its A-grade quality. The short chain branching (SCB) value of 25.2 CH3/1000C suggests some degree of branching, which may affect processing but does not significantly detract from the overall quality, making it suitable for film-to-film recycling in a clean film stream.",Route to clean film stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9161,0.4295,25.2,95,True,Crystallinity 0.4295 within 0.0295 of Grade A boundary (0.40) — grade assignment borderline
S0036RPP,PP,B,74,Polypropylene stream — industrial reuse only,True,,Moderate,Medium,True,"The sample S0036RPP, identified as polypropylene (PP), has been assigned a Quality Grade of B due to its moderate degradation level. Its density (0.9116 g/cm3) and crystallinity (0.3770) fall within acceptable ranges for industrial reuse. The presence of short chain branches (SCB) at 302.5 CH3/1000C indicates some molecular weight reduction but remains suitable for industrial applications.",Route to PP industrial stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9116,0.377,302.5,83,False,
S0040HDPE,HDPE,A,94,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9524 g/cm3 and crystallinity of 0.6085 indicate excellent mechanical properties, while the low SCB count of 15.6 CH3/1000C suggests minimal branching. These factors collectively contribute to the premium food-grade quality grade assignment, making it suitable for PCR in food-contact applications with low degradation.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9524,0.6085,15.6,91,True,"Density 0.9524 only 0.0044 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | SCB 15.6 elevated above pure HDPE range (2–12) — possible 5–10% LLDPE content, flag before food-contact use"
S0048HDPE,HDPE,A,89,Premium food-grade HDPE stream — PCR eligible for food-contact applications,False,,Low,Low,True,"The high density of 0.9499 g/cm3 and crystallinity of 0.5753 indicate that the sample is pure and well-crystallized HDPE, meeting premium food-grade standards. The low SCB value of 16.5 CH3/1000C further confirms minimal branching, ensuring excellent mechanical properties and chemical resistance suitable for food-contact applications.",Route to premium HDPE stream — eligible for food-contact PCR certification. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.9499,0.5753,16.5,80,True,"Density 0.9499 only 0.0019 g/cm³ above HDPE boundary (0.948) — possible MDPE/LLDPE, flag for secondary confirmation | Crystallinity 0.5753 within 0.0253 of Grade A boundary (0.55) — grade assignment borderline | SCB 16.5 elevated above pure HDPE range (2–12) — possible 5–10% LLDPE content, flag before food-contact use"
S0052PP,PP,A,95,"Polypropylene stream — packaging reuse, food-contact eligible",False,,Moderate,Low,True,"The assigned Quality Grade of 'A' for Sample S0052PP is justified by its high density (0.8965 g/cm3), indicating purity, and moderate crystallinity (0.3903), suggesting a balanced structure suitable for polypropylene applications. The short chain branching (SCB) value of 274.2 CH3/1000C further supports this grade, as it falls within acceptable limits for polypropylene intended for packaging reuse and food-contact purposes.",Route to polypropylene packaging reuse stream. Generate Digital Product Passport.,ibm/granite-3-8b-instruct via watsonx.ai,0.8965,0.3903,274.2,92,True,Crystallinity 0.3903 within 0.0103 of Grade A boundary (0.38) — grade assignment borderline
S0081LDPE,LLDPE,B,61,Mixed film stream — general flexible packaging recycling,False,,Moderate,Medium,True,"The assigned Quality Grade of B for Sample S0081LDPE is due to its moderate degradation level, indicated by a density of 0.9205 g/cm3 and crystallinity of 0.3773, which suggests some loss in molecular weight. The presence of 23.4 short chain branches per 1000 carbon atoms (SCB) further supports this assessment, as it implies a reduction in linearity and potential contamination from other polymers or impurities. These factors collect",Route to mixed film stream. Flag for quality verification before market dispatch.,ibm/granite-3-8b-instruct via watsonx.ai,0.9205,0.3773,23.4,62,True,Density 0.9205 within -0.0095 g/cm³ of LDPE boundary — possible LDPE/MDPE overlap
0HDPE_100PP,BLEND,C,12,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 280.3 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9077 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 0HDPE and PP results in a density of 0.9077 g/cm3, which is lower than pure HDPE but higher than PP alone. The crystallinity of 0.3736 indicates a moderate level of crystalline structure, while the SCB value of 280.3 suggests a significant presence of side chains. These characteristics collectively contribute to the low quality grade of C, necessitating further secondary sorting for potential recycling.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9077,0.3736,280.3,63,False,
10HDPE_90PP,BLEND,C,20,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 292.0 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.8998 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 10HDPE and PP results in a density lower than pure HDPE, at 0.8998 g/cm3, indicating contamination with PP. The high crystallinity of 0.3558 suggests significant HDPE content, but the presence of SCBs (292.0 CH3/1000C) indicates substantial branching, likely due to PP incorporation. This blend's properties make it unsuitable for direct recycling, necessitating secondary sorting before considering alternative recycling",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.8998,0.3558,292.0,64,False,
20HDPE_80PP,BLEND,C,22,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 290.1 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.8995 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 20% HDPE and 80% PP results in a density of 0.8995 g/cm3, indicating a mixture with varying crystallinities. The low crystallinity at 0.3686 and high SCB count of 290.1 CH3/1000C suggest that the PP component dominates the blend's properties, leading to an inferior quality grade of C. This grade implies that the material requires secondary sorting for further recycling processes.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.8995,0.3686,290.1,63,False,
30HDPE_70PP,BLEND,C,20,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 290.0 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.8997 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 30% HDPE and 70% PP results in a density of 0.8997 g/cm3, indicating a lower crystalline content than pure HDPE. The low crystallinity (0.3522) and high SCB (290.0 CH3/1000C) suggest that the sample is contaminated with significant amounts of PP, leading to its C-grade assignment and rejection for direct recycling. Secondary sorting is necessary to separate the components before considering alternative recycl",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.8997,0.3522,290.0,63,False,
40HDPE_60PP,BLEND,C,19,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 290.2 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9018 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 40% HDPE and 60% PP results in an intermediate density of 0.9018 g/cm3, which is lower than pure HDPE but higher than PP. The crystallinity of 0.3518 indicates a moderate level of crystalline structure, while the SCB value of 290.2 CH3/1000C suggests a significant presence of branching. These factors combined lead to the assignment of Quality Grade C, indicating that the material requires secondary sorting before any",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9018,0.3518,290.2,63,False,
50HDPE_50PP,BLEND,C,19,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 289.5 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9022 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 50HDPE_50PP exhibits a density of 0.9022 g/cm3, which is lower than pure HDPE's typical range of 0.941 to 0.965 g/cm3, indicating a significant presence of PP. The low crystallinity at 0.3561 and high SCB count of 289.5 CH3/1000C further support this inference. These factors contribute to the sample's poor mechanical properties, resulting in the",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9022,0.3561,289.5,63,False,
60HDPE_40PP,BLEND,C,21,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 291.3 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9022 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 60% HDPE and 40% PP results in a density of 0.9022 g/cm3, indicating a lower crystalline content than pure HDPE. The low crystallinity (0.3557) and high SCB (291.3 CH3/1000C) suggest that the sample contains significant amounts of amorphous PP, which negatively impacts its mechanical properties. Consequently, the sample is assigned Quality Grade C, making it unsuitable",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9022,0.3557,291.3,63,False,
70HDPE_30PP,BLEND,C,12,REJECT — secondary sorting required before any recycling pathway,True,Density 0.9045 g/cm3 and SCB 31.3 CH3/1000C are inconsistent with any single polymer class — indicates a blended stream.,Unknown,High,False,"The blend of 70% HDPE and 30% PP results in a density of 0.9045 g/cm3, which is lower than pure HDPE's typical range (0.94-0.96 g/cm3). The crystallinity of 0.3574 indicates a low level of ordered structure, further supporting the blend composition. The high SCB value of 31.3 CH3/1000C suggests significant branching, common in PP, affecting the overall mechanical properties and",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9045,0.3574,31.3,51,True,SCB 31.3 near PE blend threshold — LDPE/HDPE blend boundary indistinct
80HDPE_20PP,BLEND,C,22,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 254.9 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9021 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The blend of 80% HDPE and 20% PP results in a density of 0.9021 g/cm3, indicating a lower crystallinity than pure HDPE. The SCB value of 254.9 CH3/1000C suggests a significant presence of PP, which lowers the overall quality due to its inferior mechanical properties compared to HDPE. This combination leads to the assignment of Quality Grade C, necessitating secondary sorting for potential recycling.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9021,0.3708,254.9,61,False,
90HDPE_10PP,BLEND,C,16,REJECT — secondary sorting required before any recycling pathway,True,Density 0.9034 g/cm3 and SCB 35.3 CH3/1000C are inconsistent with any single polymer class — indicates a blended stream.,Unknown,High,False,"The blend of 90% HDPE and 10% PP results in a density of 0.9034 g/cm3, indicating a high proportion of HDPE. However, the low crystallinity at 0.3802 and significant short chain branching with 35.3 CH3/1000C suggest a low-quality polymer. The combination of these factors leads to the assignment of Quality Grade C, necessitating secondary sorting for potential recycling.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9034,0.3802,35.3,50,True,SCB 35.3 near PE blend threshold — LDPE/HDPE blend boundary indistinct
100HDPE_0PP,BLEND,C,14,REJECT — secondary sorting required before any recycling pathway,True,Density 0.9046 g/cm3 and SCB 32.8 CH3/1000C are inconsistent with any single polymer class — indicates a blended stream.,Unknown,High,False,"The sample's density of 0.9046 g/cm3 indicates it is close to the target range for HDPE (0.935-0.970 g/cm3), but its crystallinity at 0.3802 suggests a lower degree of polyethylene chain ordering than expected. The high SCB count of 32.8 CH3/1000C implies significant branching, which may affect mechanical properties negatively. These factors collectively contribute to the low quality grade of C, necessit",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9046,0.3802,32.8,50,True,SCB 32.8 near PE blend threshold — LDPE/HDPE blend boundary indistinct
L_0,BLEND,C,18,REJECT — secondary sorting required before any recycling pathway,True,Density 0.9133 g/cm3 and SCB 24.0 CH3/1000C are inconsistent with any single polymer class — indicates a blended stream.,Unknown,High,False,"The low density of 0.9133 g/cm3 suggests that the blend contains a significant proportion of less dense components, possibly polyethylene or ethylene-propylene copolymers. The high short chain branching (SCB) count of 24.0 CH3/1000C indicates a high degree of branching in the polymer chains, which can negatively impact mechanical properties. Combined with an average crystallinity of 0.5230, these factors contribute to the assignment of Quality Gr",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9133,0.523,24.0,52,True,SCB 24.0 near PE blend threshold — LDPE/HDPE blend boundary indistinct
L_10,BLEND,C,14,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 292.6 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9000 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The low density of 0.9000 g/cm3 indicates that the blend is composed of less dense components, which may affect its mechanical properties. The high short chain branching (SCB) count of 292.6 CH3/1000C suggests significant branching in the polymer structure, potentially leading to reduced crystallinity (0.3712). These factors combined result in the low quality grade of C, necessitating secondary sorting before considering any recycling pathways.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9,0.3712,292.6,64,False,
L_20,BLEND,C,14,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 293.1 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9002 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The low density of 0.9002 g/cm3 indicates a blend with lower molecular weight components, which is consistent with the high short chain branching (SCB) count of 293.1 CH3/1000C. The crystallinity of 0.3713 suggests a significant amorphous phase, further supporting the blend nature. These factors collectively result in the C-grade quality assignment, necessitating secondary sorting for potential recycling.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9002,0.3713,293.1,64,False,
L_30,BLEND,C,19,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 286.7 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9016 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The low density of 0.9016 g/cm3 indicates a blend with lower molecular weight components, which is consistent with the high short chain branching (SCB) count of 286.7 CH3/1000C. The moderate crystallinity of 0.3693 suggests a balance between amorphous and semi-crystalline regions in the blend. However, these characteristics collectively result in a lower quality grade of C, necessitating secondary sorting for potential recycling applications.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9016,0.3693,286.7,63,False,
L_50,BLEND,C,13,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 289.4 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9035 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The low density of 0.9035 g/cm3 indicates a blend with lower molecular weight components, which is consistent with the high short chain branching content of 289.4 CH3/1000C. The crystallinity of 0.3910 suggests a blend with less ordered structure, further supporting the C quality grade assigned due to its inferior mechanical properties compared to higher quality grades.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9035,0.391,289.4,63,False,
L_70,BLEND,C,22,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 290.1 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9033 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The sample L_70, classified as a blend, exhibits a density of 0.9033 g/cm3 and crystallinity of 0.3904, indicating a moderately dense and partially crystalline material. The high SCB count of 290.1 CH3/1000C suggests significant branching, which negatively impacts its mechanical properties and processability. These factors collectively contribute to the low quality grade of C and necessitate secondary sorting prior to any recycling",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9033,0.3904,290.1,63,False,
L_80,BLEND,C,15,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 289.2 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9008 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The low density of 0.9008 g/cm3 indicates that the blend contains a significant amount of non-polyethylene components, contributing to its lower quality grade. The high Short Chain Branching (SCB) value of 289.2 CH3/1000C suggests an increased presence of branching in the polymer structure, which further degrades its mechanical properties and justifies the C-grade assignment.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9008,0.3915,289.2,63,False,
L_90,BLEND,C,21,REJECT — secondary sorting required before any recycling pathway,True,"SCB of 289.9 CH3/1000C is significantly elevated above pure PE range (<35). Combined with density 0.9031 g/cm3, this spectrum is consistent with a mixed HDPE-PP stream.",Unknown,High,False,"The sample's density of 0.9031 g/cm3 indicates it is a blend, which aligns with the given polymer type. However, its crystallinity of 0.3911 and SCB value of 289.9 CH3/1000C suggest low purity or contamination, leading to the assignment of Quality Grade C and the necessity for secondary sorting prior to recycling.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9031,0.3911,289.9,63,False,
L_100,BLEND,C,12,REJECT — secondary sorting required before any recycling pathway,True,Density 0.9099 g/cm3 and SCB 30.2 CH3/1000C are inconsistent with any single polymer class — indicates a blended stream.,Unknown,High,False,"The sample's density of 0.9099 g/cm3 indicates it is a blend of polymers, consistent with its assigned type. The high crystallinity at 0.3833 and significant short chain branching (SCB) of 30.2 CH3/1000C suggest contamination or degradation, leading to the C-grade assignment and rejection for further processing without prior secondary sorting.",Eject to contaminated holding bin — flag for manual inspection or chemical recycling pathway. Do not route to clean polymer streams.,ibm/granite-3-8b-instruct via watsonx.ai,0.9099,0.3833,30.2,51,True,SCB 30.2 near PE blend threshold — LDPE/HDPE blend boundary indistinct
